crop_type,soil_ph,relative_humidity_pct,air_temperature_c,growth_stage,Target_Nutrient,Form,Fertilizer
maize,6.89,67,20.3,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.08,78,29.3,flowering,Nitrogen,Granular,Urea (46% N)
maize,6.08,78,29.3,flowering,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.08,78,29.3,flowering,Potassium,Granular,MOP (KCl)
maize,6.08,78,29.3,flowering,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.08,78,29.3,flowering,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.08,78,29.3,flowering,Zinc,Granular/foliar,Zinc Sulfate
maize,6.08,78,29.3,flowering,Calcium & Sulfur,Granular,Gypsum
maize,6.08,78,29.3,flowering,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.08,78,29.3,flowering,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.08,78,29.3,flowering,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.38,38,30.0,flowering,Nitrogen,Granular,Urea (46% N)
maize,7.38,38,30.0,flowering,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.38,38,30.0,flowering,Potassium,Granular,MOP (KCl)
maize,7.38,38,30.0,flowering,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.38,38,30.0,flowering,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.38,38,30.0,flowering,Zinc,Granular/foliar,Zinc Sulfate
maize,7.38,38,30.0,flowering,Calcium & Sulfur,Granular,Gypsum
maize,7.38,38,30.0,flowering,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.38,38,30.0,flowering,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.38,38,30.0,flowering,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.12,22,28.7,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.12,22,28.7,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.12,22,28.7,vegetative,Potassium,Granular,MOP (KCl)
maize,6.12,22,28.7,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.12,22,28.7,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.12,22,28.7,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.12,22,28.7,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.12,22,28.7,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.12,22,28.7,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.12,22,28.7,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.47,51,35.5,vegetative,Nitrogen,Granular,Urea (46% N)
maize,7.47,51,35.5,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.47,51,35.5,vegetative,Potassium,Granular,MOP (KCl)
maize,7.47,51,35.5,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.47,51,35.5,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.47,51,35.5,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,7.47,51,35.5,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,7.47,51,35.5,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.47,51,35.5,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.47,51,35.5,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.2,52,22.0,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.2,52,22.0,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.2,52,22.0,vegetative,Potassium,Granular,MOP (KCl)
maize,6.2,52,22.0,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.2,52,22.0,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.2,52,22.0,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.2,52,22.0,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.2,52,22.0,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.2,52,22.0,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.2,52,22.0,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.39,45,37.8,vegetative,Nitrogen,Granular,Urea (46% N)
maize,7.39,45,37.8,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.39,45,37.8,vegetative,Potassium,Granular,MOP (KCl)
maize,7.39,45,37.8,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.39,45,37.8,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.39,45,37.8,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,7.39,45,37.8,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,7.39,45,37.8,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.39,45,37.8,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.39,45,37.8,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.0,78,23.3,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.0,78,23.3,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.0,78,23.3,vegetative,Potassium,Granular,MOP (KCl)
maize,6.0,78,23.3,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.0,78,23.3,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.0,78,23.3,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.0,78,23.3,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.0,78,23.3,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.0,78,23.3,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.0,78,23.3,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.73,58,24.7,vegetative,Nitrogen,Granular,Urea (46% N)
maize,7.73,58,24.7,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.73,58,24.7,vegetative,Potassium,Granular,MOP (KCl)
maize,7.73,58,24.7,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.73,58,24.7,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.73,58,24.7,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,7.73,58,24.7,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,7.73,58,24.7,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.73,58,24.7,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.73,58,24.7,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.07,60,28.7,flowering,Nitrogen,Granular,Urea (46% N)
maize,6.07,60,28.7,flowering,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.07,60,28.7,flowering,Potassium,Granular,MOP (KCl)
maize,6.07,60,28.7,flowering,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.07,60,28.7,flowering,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.07,60,28.7,flowering,Zinc,Granular/foliar,Zinc Sulfate
maize,6.07,60,28.7,flowering,Calcium & Sulfur,Granular,Gypsum
maize,6.07,60,28.7,flowering,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.07,60,28.7,flowering,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.07,60,28.7,flowering,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.38,57,25.9,flowering,Nitrogen,Granular,Urea (46% N)
maize,6.38,57,25.9,flowering,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.38,57,25.9,flowering,Potassium,Granular,MOP (KCl)
maize,6.38,57,25.9,flowering,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.38,57,25.9,flowering,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.38,57,25.9,flowering,Zinc,Granular/foliar,Zinc Sulfate
maize,6.38,57,25.9,flowering,Calcium & Sulfur,Granular,Gypsum
maize,6.38,57,25.9,flowering,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.38,57,25.9,flowering,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.38,57,25.9,flowering,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.63,39,18.7,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.63,39,18.7,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.63,39,18.7,vegetative,Potassium,Granular,MOP (KCl)
maize,6.63,39,18.7,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.63,39,18.7,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.63,39,18.7,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.63,39,18.7,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.63,39,18.7,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.63,39,18.7,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.63,39,18.7,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.66,57,37.8,vegetative,Nitrogen,Granular,Urea (46% N)
maize,7.66,57,37.8,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.66,57,37.8,vegetative,Potassium,Granular,MOP (KCl)
maize,7.66,57,37.8,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.66,57,37.8,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.66,57,37.8,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,7.66,57,37.8,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,7.66,57,37.8,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.66,57,37.8,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.66,57,37.8,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.71,87,34.1,flowering,Nitrogen,Granular,Urea (46% N)
maize,6.71,87,34.1,flowering,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.71,87,34.1,flowering,Potassium,Granular,MOP (KCl)
maize,6.71,87,34.1,flowering,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.71,87,34.1,flowering,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.71,87,34.1,flowering,Zinc,Granular/foliar,Zinc Sulfate
maize,6.71,87,34.1,flowering,Calcium & Sulfur,Granular,Gypsum
maize,6.71,87,34.1,flowering,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.71,87,34.1,flowering,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.71,87,34.1,flowering,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.78,92,24.1,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.78,92,24.1,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.78,92,24.1,vegetative,Potassium,Granular,MOP (KCl)
maize,6.78,92,24.1,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.78,92,24.1,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.78,92,24.1,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.78,92,24.1,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.78,92,24.1,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.78,92,24.1,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.78,92,24.1,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.46,51,33.3,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.46,51,33.3,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.46,51,33.3,vegetative,Potassium,Granular,MOP (KCl)
maize,6.46,51,33.3,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.46,51,33.3,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.46,51,33.3,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.46,51,33.3,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.46,51,33.3,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.46,51,33.3,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.46,51,33.3,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,5.76,50,30.0,vegetative,Nitrogen,Granular,Urea (46% N)
maize,5.76,50,30.0,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,5.76,50,30.0,vegetative,Potassium,Granular,MOP (KCl)
maize,5.76,50,30.0,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,5.76,50,30.0,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,5.76,50,30.0,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,5.76,50,30.0,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,5.76,50,30.0,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,5.76,50,30.0,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,5.76,50,30.0,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,5.3,90,33.4,flowering,Nitrogen,Granular,Urea (46% N)
maize,5.3,90,33.4,flowering,Phosphorus & N,Granular,DAP (18-46-0)
maize,5.3,90,33.4,flowering,Potassium,Granular,MOP (KCl)
maize,5.3,90,33.4,flowering,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,5.3,90,33.4,flowering,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,5.3,90,33.4,flowering,Zinc,Granular/foliar,Zinc Sulfate
maize,5.3,90,33.4,flowering,Calcium & Sulfur,Granular,Gypsum
maize,5.3,90,33.4,flowering,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,5.3,90,33.4,flowering,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,5.3,90,33.4,flowering,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,5.98,62,34.0,vegetative,Nitrogen,Granular,Urea (46% N)
maize,5.98,62,34.0,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,5.98,62,34.0,vegetative,Potassium,Granular,MOP (KCl)
maize,5.98,62,34.0,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,5.98,62,34.0,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,5.98,62,34.0,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,5.98,62,34.0,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,5.98,62,34.0,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,5.98,62,34.0,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,5.98,62,34.0,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.06,78,27.2,flowering,Nitrogen,Granular,Urea (46% N)
maize,6.06,78,27.2,flowering,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.06,78,27.2,flowering,Potassium,Granular,MOP (KCl)
maize,6.06,78,27.2,flowering,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.06,78,27.2,flowering,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.06,78,27.2,flowering,Zinc,Granular/foliar,Zinc Sulfate
maize,6.06,78,27.2,flowering,Calcium & Sulfur,Granular,Gypsum
maize,6.06,78,27.2,flowering,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.06,78,27.2,flowering,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.06,78,27.2,flowering,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.31,50,26.4,vegetative,Nitrogen,Granular,Urea (46% N)
maize,7.31,50,26.4,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.31,50,26.4,vegetative,Potassium,Granular,MOP (KCl)
maize,7.31,50,26.4,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.31,50,26.4,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.31,50,26.4,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,7.31,50,26.4,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,7.31,50,26.4,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.31,50,26.4,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.31,50,26.4,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.94,61,30.6,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.94,61,30.6,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.94,61,30.6,vegetative,Potassium,Granular,MOP (KCl)
maize,6.94,61,30.6,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.94,61,30.6,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.94,61,30.6,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.94,61,30.6,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.94,61,30.6,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.94,61,30.6,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.94,61,30.6,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.44,76,20.8,flowering,Nitrogen,Granular,Urea (46% N)
maize,7.44,76,20.8,flowering,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.44,76,20.8,flowering,Potassium,Granular,MOP (KCl)
maize,7.44,76,20.8,flowering,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.44,76,20.8,flowering,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.44,76,20.8,flowering,Zinc,Granular/foliar,Zinc Sulfate
maize,7.44,76,20.8,flowering,Calcium & Sulfur,Granular,Gypsum
maize,7.44,76,20.8,flowering,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.44,76,20.8,flowering,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.44,76,20.8,flowering,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.2,64,24.0,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.2,64,24.0,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.2,64,24.0,vegetative,Potassium,Granular,MOP (KCl)
maize,6.2,64,24.0,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.2,64,24.0,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.2,64,24.0,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.2,64,24.0,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.2,64,24.0,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.2,64,24.0,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.2,64,24.0,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,5.21,71,23.6,vegetative,Nitrogen,Granular,Urea (46% N)
maize,5.21,71,23.6,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,5.21,71,23.6,vegetative,Potassium,Granular,MOP (KCl)
maize,5.21,71,23.6,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,5.21,71,23.6,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,5.21,71,23.6,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,5.21,71,23.6,vegetative,Calcium & Sulfur,Granular,Gypsum
