Crop,Fertilizer,Form,Target Nutrient,Application Rate (kg/ha),Recommended Stage,Frequency,Soil pH Range,Humidity Condition Favorable,Remarks,Application Rate (t/ha),Application Rate
Tomato,"Foliar NPK spray (e.g., 20-20-20 soluble)",Liquid (foliar),Balanced micronutrients & NPK,,Fruit development,1-4 (as needed),All,Moderate to high,Quick correction for nutrient imbalances.,,Per label (g/L)
Maize,Urea (46% N),Granular,Nitrogen,100-200,Split: basal + V6 (knee-high),1-2,5.5-8.0,Moderate,High N demand crop; split applications reduce leaching.,,
Maize,DAP (18-46-0),Granular,Phosphorus & N,50-120,Basal (planting),1,5.5-8.0,Moderate,Starter P at planting supports early vigor.,,
Maize,MOP (KCl),Granular,Potassium,60-120,Basal or split,1,5.5-8.5,Moderate,Important for drought tolerance and grain fill.,,
Maize,Ammonium Nitrate / CAN,Granular,Nitrogen,80-160,Top-dress,1-2,5.5-8.0,Moderate,Good alternative N sources depending on availability.,,
Maize,Monoammonium Phosphate (MAP 11-52-0),Granular,Phosphorus & N,40-100,Basal,1,5.5-8.0,Moderate,High P starter fertilizer.,,
Maize,Zinc Sulfate,Granular/foliar,Zinc,5-25,Basal or early vegetative foliar,1,5.0-8.0,Moderate,Correct Zn deficiency for better tassel and grain set.,,
Maize,Gypsum,Granular,Calcium & Sulfur,200-500,Basal,1,4.5-8.0,Moderate,Improves soil structure and supplies S.,,
Maize,"Compound NPK (e.g., 16-16-16)",Granular,Balanced NPK,150-300,Basal,1,5.5-8.0,Moderate,Use based on soil test recommendations.,,
Maize,Farm Yard Manure / Compost,Organic bulk,Slow release nutrients,,Pre-planting,1,5.5-8.5,Moderate to high,Improves soil fertility and moisture retention.,5-30,
Maize,"Foliar Micronutrient mix (Fe,Zn,Mn)",Liquid (foliar),Micronutrients,,Early vegetative to tasseling,1-3,All,Moderate,Quick fix for micronutrient deficiencies.,,Per label
Potato,NPK 14-35-14 (high P),Granular,Higher Phosphorus for tuber initiation,150-300,Basal / at planting,1,5.0-6.5,Moderate,Promotes tuber development.,,
Potato,Urea (46% N),Granular,Nitrogen,80-150,Split: basal + hilling,1-2,5.0-6.5,Moderate,Avoid excess N late to reduce foliage and disease risk.,,
Potato,Muriate of Potash (KCl),Granular,Potassium,100-200,Split: basal + tuber initiation,1-2,5.0-7.0,Moderate,Important for tuber quality and storage.,,
Potato,Magnesium Sulfate,Soluble / granular,Magnesium,20-50,When deficiency occurs / foliar possible,1,5.0-7.0,Moderate,Correct Mg deficiency to avoid interveinal chlorosis.,,
Potato,Calcium Nitrate,Granular/soluble,Calcium & N,50-120,Basal / foliar during tuber set,1-2,5.0-7.0,Moderate,Reduces tuber defects and improves skin quality.,,
Potato,Sulphate of Potash (K2SO4),Granular,K & S,80-150,Basal / tuber initiation,1,5.0-7.0,Moderate,Preferred K source when chloride sensitive crop.,,
Potato,Rock Phosphate (for acidic soils),Granular/slow release,Phosphorus,200-500 (organic/slow release),Pre-planting,1,4.5-6.5,Moderate,Slow P source suited for acidic soils.,,
Potato,Fym / Compost,Organic,Multiple slow release nutrients,,Pre-planting,1,5.0-8.0,Moderate to high,Improves soil structure and tuber yield.,10-40,
Potato,Boron (borax),Granular/foliar,Boron,1-5 (careful),Basal or foliar during tuber initiation,1,5.0-7.5,Moderate,Micronutrient; overdosing toxic—use soil test.,,
Potato,Foliar NPK & Micronutrient Spray,Liquid (foliar),Quick correction of deficiencies,,During tuber filling,1-3,All,Moderate to high,Useful for rapid correction and boosting quality.,,Per label
Soybean,Rhizobium Inoculant (biofertilizer),Powder/liquid for seed coating,Biological N fixation support,,Seed inoculation at sowing,1 per season,5.5-7.5,Moderate to high,Important where soybean hasn't been grown recently.,,Per seed/label
Soybean,DAP (18-46-0),Granular,Phosphorus,30-80,Basal (sowing),1,5.5-7.5,Moderate,Supports early root development; legumes need P for nodulation.,,
Soybean,Muriate of Potash (MOP),Granular,Potassium,40-80,Basal / early vegetative,1,5.5-8.0,Moderate,Important for pod filling and drought tolerance.,,
Soybean,Gypsum,Granular,Calcium & Sulfur,100-400,Basal,1,5.5-8.0,Moderate,Supplies S which is important for protein synthesis.,,
Soybean,Zinc Sulfate,Granular/foliar,Zinc,5-25,Basal or foliar at early vegetative,1,5.0-7.5,Moderate,Corrects Zn deficiency important for nodulation.,,
Soybean,Boron (borax),Granular/foliar,Boron,1-5 (careful),Flowering/pod set,1,5.5-7.5,Moderate,Enhances pod set; small amounts needed.,,
Soybean,Lime (if acidic),Powder,pH correction,,Pre-season,1,<5.5,Moderate,Improves pH for better rhizobia activity.,0.5-4,
Soybean,Fym / Compost,Organic,Multiple (slow-release),,Pre-planting,1,5.5-8.0,Moderate to high,Improves soil structure and microbial activity.,5-20,
Soybean,"Foliar Micronutrient mix (Fe,Zn,Mn)",Liquid (foliar),Micronutrients,,Early vegetative to flowering,1-2,All,Moderate,Corrects quick deficiencies affecting yield.,,Per label
Soybean,Phosphate Rock / Rock Phosphate (slow-release),Granular/slow release,Phosphorus,200-500,Pre-planting,1,Acidic soils work better,Moderate,Slow-release P suited to acidic soils.,,
